CutTableBySelection,Measure Names,Measure Values
CAS 2020-R02 G2, Risk Layers,0.281861140
CAS 2020-R01 G1, Risk Layers,0.288297954
CAS 2019-R07 G1, Risk Layers,0.338205369
CAS 2019-R06 G2, Risk Layers,0.336348770
CAS 2019-R05 G1, Risk Layers,0.455806075
CAS 2019-R04 G2, Risk Layers,0.362305252
CAS 2019-R03 G1, Risk Layers,0.451514171
CAS 2019-R02 G1, Risk Layers,0.434109745
CAS 2019-R01 G2, Risk Layers,0.352910741
CAS 2019-HRP1, Risk Layers,0.119733794
CAS 2018-R07 G1, Risk Layers,0.449972090
CAS 2018-C06 G2, Risk Layers,0.339381595
CAS 2018-C06 G1, Risk Layers,0.422024062
CAS 2018-C05 G1, Risk Layers,0.364822640
CAS 2018-C04 G2, Risk Layers,0.294815840
CAS 2018-C03 G1, Risk Layers,0.295189097
CAS 2018-C02 G2, Risk Layers,0.141938566
CAS 2018-C01 G1, Risk Layers,0.207111040
CAS 2017-C07 G2, Risk Layers,0.120791126
CAS 2017-C07 G1, Risk Layers,0.208758387
CAS 2017-C06 G2, Risk Layers,0.113191675
CAS 2017-C06 G1, Risk Layers,0.174188544
CAS 2017-C05 G1, Risk Layers,0.136538990
CAS 2017-C04 G2, Risk Layers,0.082304155
CAS 2017-C03 G1, Risk Layers,0.133697562
CAS 2017-C02 G2, Risk Layers,0.083220597
CAS 2017-C01 G1, Risk Layers,0.146897817
CAS 2016-C07 G2, Risk Layers,0.089823983
CAS 2016-C06 G1, Risk Layers,0.163907374
CAS 2016-C05 G2, Risk Layers,0.085819624
CAS 2016-C04 G1, Risk Layers,0.159144376
CAS 2016-C03 G2, Risk Layers,0.075329198
CAS 2016-C03 G1, Risk Layers,0.140291918
CAS 2016-C02 G1, Risk Layers,0.127712032
CAS 2016-C01 G2, Risk Layers,0.084248839
CAS 2016-C01 G1, Risk Layers,0.160330435
CAS 2015-C04 G2, Risk Layers,0.095494222
CAS 2015-C04 G1, Risk Layers,0.182845089
CAS 2015-C03 G2, Risk Layers,0.090325047
CAS 2015-C03 G1, Risk Layers,0.166497857
